Our Song,Taylor Swift,2008,['pop'],Neutral
Sensual Seduction,Snoop Dogg,2008,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",Neutral
Better In Time,Leona Lewis,2008,"['british soul', 'dance pop', 'pop', 'talent show']",Neutral
In The Ayer,Flo Rida Featuring will.i.am,2008,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Neutral
One Step At A Time,Jordin Sparks,2008,"['dance pop', 'pop', 'post-teen pop']",Neutral
Superstar,Lupe Fiasco Featuring Matthew Santos,2008,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']",Neutral
Suffocate,J. Holiday,2008,"['contemporary r&b', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']",Neutral
Let It Rock,Kevin Rudolf Featuring Lil Wayne,2008,"['pop rap', 'wrestling']",Neutral
Get Like Me,David Banner Featuring Chris Brown,2008,"['conscious hip hop', 'crunk', 'dirty south rap', 'mississippi hip hop', 'southern hip hop']",Neutral
Put On,Young Jeezy Featuring Kanye West,2008,"['southern hip hop', 'gangster rap']",Neutral
Crush,David Archuleta,2008,"['idol', 'lds youth', 'post-teen pop']",Neutral
Hypnotized,Plies Featuring Akon,2008,"['dirty south rap', 'miami hip hop', 'southern hip hop', 'trap']",Neutral
Good Life,Kanye West Featuring T-Pain,2008,"['chicago rap', 'hip hop', 'rap']",Neutral
Love Story,Taylor Swift,2008,['pop'],Neutral
Just Fine,Mary J. Blige,2008,"['dance pop', 'neo soul', 'r&b', 'urban contemporary']",Neutral
The Boss,Rick Ross Featuring T-Pain,2008,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']",Neutral
Can't Help But Wait,Trey Songz,2008,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Neutral
In Love With A Girl,Gavin DeGraw,2008,"['neo mellow', 'pop rock']",Neutral
Flashing Lights,Kanye West Featuring Dwele,2008,"['chicago rap', 'hip hop', 'rap']",Neutral
7 Things,Miley Cyrus,2008,['pop'],Neutral
Addicted,Saving Abel,2008,"['alternative metal', 'nu metal', 'post-grunge']",Neutral
Into The Night,Santana Featuring Chad Kroeger,2008,"['blues rock', 'classic rock', 'mexican classic rock']",Neutral
Heaven Sent,Keyshia Cole,2008,"['hip pop', 'r&b', 'urban contemporary']",Neutral
Low,Flo Rida Featuring T-Pain,2008,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Sad
Bleeding Love,Leona Lewis,2008,"['british soul', 'dance pop', 'pop', 'talent show']",Sad
No Air,Jordin Sparks Duet With Chris Brown,2008,"['dance pop', 'pop', 'post-teen pop']",Sad
